ABC-123;120;4.80;kártya
QWE-842;180;5.60;készpénz
TRK-551;240;6.40;utalás
HJK-904;300;7.20;csekk
MNO-337;360;8.00;-
PQR-118;420;8.90;kártya
XYZ-777;480;9.70;készpénz
LMN-222;540;10.50;utalás
DEF-456;600;11.30;csekk
GHI-888;660;12.10;-
JKL-300;720;12.90;kártya
ABC-123;780;13.70;készpénz
QWE-842;840;14.50;utalás
TRK-551;900;15.30;csekk
HJK-904;960;16.10;-
MNO-337;1020;16.90;kártya
PQR-118;1080;17.70;készpénz
XYZ-777;1140;18.50;utalás
LMN-222;1200;19.30;csekk
DEF-456;1260;20.10;-
GHI-888;1320;20.90;kártya
JKL-300;1380;21.70;készpénz
ABC-123;1440;22.50;utalás
QWE-842;1500;23.30;csekk
TRK-551;1560;24.10;-
HJK-904;1620;24.90;kártya
MNO-337;1680;25.70;készpénz
PQR-118;1740;26.50;utalás
XYZ-777;1800;27.30;csekk
LMN-222;1860;28.10;-
DEF-456;1920;28.90;kártya
GHI-888;1980;29.70;készpénz
JKL-300;2040;30.50;utalás
ABC-123;2100;31.30;csekk
QWE-842;2160;32.10;-
TRK-551;2220;32.90;kártya
HJK-904;2280;33.70;készpénz
MNO-337;2340;34.50;utalás
PQR-118;2400;35.30;csekk
XYZ-777;2460;36.10;-
LMN-222;2520;36.90;kártya
DEF-456;2580;37.70;készpénz
GHI-888;2640;38.50;utalás
JKL-300;2700;39.30;csekk
ABC-123;2760;40.10;-
QWE-842;2820;40.90;kártya
TRK-551;2880;41.70;készpénz
HJK-904;2940;42.50;utalás
MNO-337;3000;43.30;csekk
PQR-118;3060;44.10;-
XYZ-777;3120;44.90;kártya
LMN-222;3180;45.70;készpénz
DEF-456;3240;46.50;utalás
GHI-888;3300;47.30;csekk
JKL-300;3360;48.10;-
ABC-123;3420;48.90;kártya
QWE-842;3480;49.70;készpénz
TRK-551;3540;50.50;utalás
HJK-904;3600;51.30;csekk
MNO-337;3660;52.10;-
PQR-118;3720;52.90;kártya
XYZ-777;3780;53.70;készpénz
LMN-222;3840;54.50;utalás
DEF-456;3900;55.30;csekk
GHI-888;3960;56.10;-
JKL-300;4020;56.90;kártya
ABC-123;4080;57.70;készpénz
QWE-842;4140;58.50;utalás
TRK-551;4200;59.30;csekk
HJK-904;4260;60.10;-
MNO-337;4320;60.90;kártya
PQR-118;4380;61.70;készpénz
XYZ-777;4440;62.50;utalás
LMN-222;4500;63.30;csekk
DEF-456;4560;64.10;-
GHI-888;4620;64.90;kártya
JKL-300;4680;65.70;készpénz
ABC-123;4740;66.50;utalás
QWE-842;4800;67.30;csekk
TRK-551;4860;68.10;-
HJK-904;4920;68.90;kártya
MNO-337;4980;69.70;készpénz
PQR-118;5040;70.50;utalás
XYZ-777;5100;71.30;csekk
LMN-222;5160;72.10;-
DEF-456;5220;72.90;kártya
GHI-888;5280;73.70;készpénz
JKL-300;5340;74.50;utalás
ABC-123;5400;75.30;csekk
PQR-118;3060;44.10;-
XYZ-777;3120;44.90;kártya
LMN-222;3180;45.70;készpénz
DEF-456;3240;46.50;utalás
GHI-888;3300;47.30;csekk
JKL-300;3360;48.10;-
ABC-123;3420;48.90;kártya
QWE-842;3480;49.70;készpénz
TRK-551;3540;50.50;utalás
HJK-904;3600;51.30;csekk
MNO-337;3660;52.10;-
